#time[s]	ice_avg_T[K]	liquid_avg_T[K]	radius[m]	rdot[m/s]
0.0	0.0	0.0	0.0	0.0
1e-05	257.1513659683084	293.1499183144816	0.04050003968635889	0.003968635888986844
5.000000000000001e-05	257.1535340705193	293.14978471240306	0.04050004884082086	-0.002762957922782068
0.00021	257.157413470862	293.14954750545064	0.040500085101138	0.00022483932807432284
0.00085	257.16493675039885	293.1490919870796	0.040500172918556065	6.568490255447649e-05
0.0034100000000000003	257.1799059391369	293.1481851060595	0.04050034570959646	1.1721927679250837e-05
0.01365	257.2098220452913	293.1463707283417	0.040500684662028164	5.5842820100903045e-06
0.05461000000000001	257.26964868306203	293.1427418207427	0.0405013601619206	3.204395138991132e-06
0.21845000000000003	257.38929559695714	293.13548380778474	0.040502698286833026	1.5077220856746807e-06
0.8738100000000001	257.62857022123	293.12096670821364	0.040505339399888554	7.202206118190349e-07
2.87381	258.01132701588085	293.09776192821374	0.04050957422685078	6.768515841587907e-07
4.873810000000001	258.2479288288419	293.08346534514476	0.04051231420835722	9.962793892736967e-07
6.873810000000001	258.4380531769864	293.0720000838936	0.04051456859370151	1.005793631602253e-06
8.87381	258.6051905004648	293.0619206261705	0.04051652297937596	9.02192919767481e-07
10.873810000000002	258.75645133340777	293.05279646524275	0.04051828473016396	8.327166723875265e-07
12.873810000000002	258.89540272512227	293.04441217335153	0.040519903150159346	7.733772995435381e-07
14.87381	259.0244550557737	293.0366229018748	0.04052140741831689	7.235961193041252e-07
16.87381	259.1453742826322	293.02932269804376	0.040522817962437466	6.818410510446944e-07
18.87381	259.2594856356612	293.0224320531622	0.040524149998931766	6.46391340583145e-07
20.87381	259.3678023463387	293.01589014735856	0.04052541516831341	6.158679126505583e-07
22.87381	259.47111448803435	293.0096495279546	0.040526622551819075	5.892452838406156e-07
24.873809999999995	259.5700501114184	293.00367245295257	0.040527779367081275	5.657655702346017e-07
26.87381	259.66511736355153	292.99792837179916	0.04052889145238843	5.448601648182443e-07
28.87381	259.75673387124147	292.99239216674385	0.040529963606144644	5.260939903716212e-07
30.873810000000002	259.8452476201807	292.98704290214033	0.04053099982791687	5.091278901198528e-07
32.873810000000006	259.93095208980316	292.9818629171159	0.04053200349266765	4.93693120026757e-07
34.873810000000006	260.014097437925	292.97683715459675	0.040532977479138456	4.795736654096392e-07
36.873810000000006	260.0948989148794	292.9719526562538	0.04053392426622068	4.6659369397262385e-07
38.873810000000006	260.17354329671537	292.9671981761762	0.040534846006537645	4.5460846715912177e-07
40.87381000000001	260.2501938762589	292.96256388103575	0.04053574458349257	4.4349763696364823e-07
42.87381000000001	260.32499438678786	292.9580411142978	0.04053662165610799	4.331602228268202e-07
44.87381000000001	260.39807212368794	292.9536222085806	0.040537478694704795	4.2351079376220363e-07
46.87381000000001	260.4695404551484	292.94930033470166	0.04053831700960916	4.144765290693438e-07
48.87381000000002	260.5395008615668	292.94506937903657	0.04053913777448237	4.059949288149369e-07
50.87381000000002	260.60804460720743	292.94092384297403	0.040539942045455295	3.9801201139707675e-07
52.87381000000002	260.675254121868	292.9368587597991	0.0405407307769536	3.904808805052086e-07
54.87381000000002	260.74120415164293	292.932869625457	0.040541504834886895	3.8336057539130305e-07
56.87381000000003	260.80596272417614	292.92895234047086	0.040542265007719056	3.7661514079542804e-07
58.87381000000003	260.8695919636345	292.92510316089545	0.04054301201582117	3.702128685467852e-07
60.87381000000003	260.9321487829991	292.9213186566502	0.040543746519421574	3.6412567477065344e-07
62.87381000000003	260.9936854754874	292.91759567591924	0.0405444691254016	3.5832858491498903e-07
64.87381000000003	261.0542502224818	292.9139313145736	0.04054518039313531	3.527993052778624e-07
66.87381000000003	261.1138875319177	292.91032288977846	0.04054588083953236	3.4751786435339963e-07
68.87381000000003	261.17263861840974	292.9067679171053	0.04054657094341258	3.424663109023037e-07
70.87381000000003	261.2305417342989	292.90326409059736	0.04054725114931733	3.376284585141238e-07
72.87381000000003	261.28763245914087	292.89980926533605	0.040547921870843294	3.329896682834258e-07
74.87381000000003	261.3439439538318	292.89640144213615	0.0405485834935695	3.285366631564931e-07
76.87381000000005	261.3995071845064	292.8930387540597	0.040549236377636244	3.2425736851753014e-07
78.87381000000005	261.45435112048335	292.8897194544916	0.0405498808600248	3.2014077472028586e-07
80.87381000000005	261.5085029098391	292.8864419065626	0.040550517256578475	3.1617681812263906e-07
82.87381000000005	261.56198803561773	292.88320457373686	0.04055114586379985	3.1235627760936923e-07
84.87381000000005	261.61483045522357	292.88000601141187	0.04055176696045271	3.0867068430473584e-07
86.87381000000005	261.66705272514986	292.87684485940116	0.040552380808993656	3.051122424920572e-07
88.87381000000005	261.718676112885	292.8737198351878	0.04055298765685418	3.016737601615179e-07
90.87381000000005	261.7697206975657	292.8706297278557	0.04055358773759123	2.983485876531771e-07
92.87381000000006	261.8202054607262	292.8675733926164	0.040554181271921584	2.9513056349999005e-07
94.87381000000006	261.8701483683064	292.86454974586155	0.04055476846865344	2.920139663083787e-07
96.87381000000006	261.91956644492154	292.86155776068097	0.04055534952552669	2.889934719699878e-07
98.87381000000006	261.9684758412651	292.8585964627935	0.0405559246299718	2.8606411551745625e-07
100.87381000000006	262.0168918954016	292.8556649268455	0.040556493959796186	2.83221257018239e-07
102.87381000000006	262.06482918861025	292.8527622730363	0.040557057683805714	2.8046055104622026e-07
104.87381000000006	262.1123015963566	292.8498876640375	0.04055761596236792	2.7777791927435224e-07
106.87381000000006	262.1593223349002	292.8470403021735	0.040558168947923155	2.7516952587310093e-07
108.87381000000008	262.2059040039836	292.84421942683844	0.040558716785448715	2.726317553617404e-07
110.87381000000008	262.25205862599586	292.84142431212456	0.04055925961288084	2.701611926974663e-07
112.87381000000008	262.2977976819587	292.83865426464195	0.0405597975614986	2.67754605294336e-07
114.87381000000008	262.34313214464345	292.83590862151016	0.04056033075627366	2.6540892685163246e-07
116.87381000000008	262.38807250909144	292.83318674850716	0.040560859316189024	2.6312124275509736e-07
118.87381000000008	262.43262882078295	292.83048803835845	0.04056138335453007	2.6088877694516823e-07
120.87381000000008	262.47681070167056	292.82781190915586	0.04056190297915045	2.587088800233623e-07
122.87381000000008	262.5206273742716	292.8251578028925	0.040562418292715396	2.5657901860831733e-07
124.87381000000009	262.56408768399416	292.8225251841049	0.040562929392924656	2.5449676570677067e-07
126.87381000000009	262.60720011985103	292.81991353861184	0.04056343637271715	2.5245979205290214e-07
128.87381000000008	262.6499728337038	292.8173223723423	0.04056393932045915	2.5046585838103407e-07
130.87381000000008	262.69241365816123	292.81475121024454	0.0405644383201177	2.4851280840388486e-07
132.8738100000001	262.7345301232469	292.81219959527044	0.040564933451420704	2.465985626191591e-07
134.8738100000001	262.7763294719387	292.8096670874271	0.04056542479000526	2.447211126613395e-07
136.8738100000001	262.8178186746728	292.80715326289254	0.04056591240755527	2.4287851636596475e-07
138.8738100000001	262.8590044428962	292.80465771318836	0.04056639637192965	2.410688932855023e-07
140.8738100000001	262.89989324174405	292.8021800444062	0.040566876747282064	2.392904207170264e-07
142.8738100000001	262.94049130191155	292.7997198764835	0.040567353594173176	2.3754133022361813e-07
144.8738100000001	262.9808046307827	292.79727684252447	0.04056782696967618	2.3581990447961353e-07
146.8738100000001	263.0208390228736	292.7948505881631	0.04056829692747655	2.341244745280137e-07
148.8738100000001	263.0606000696423	292.79244077096536	0.04056876351796646	2.3245341733684515e-07
150.8738100000001	263.1000931687134	292.79004705986694	0.04056922678833464	2.308051536566124e-07
152.8738100000001	263.1393235325597	292.78766913464545	0.04056968678265222	2.2917814614183714e-07
154.8738100000001	263.178296196682	292.7853066854222	0.040570143541955005	2.275708976905453e-07
156.8738100000001	263.21701602732264	292.78295941219466	0.04057059710432259	2.259819499928289e-07
158.8738100000001	263.2554877287463	292.780627024394	0.04057104750495485	2.2440988229719258e-07
160.8738100000001	263.2937158501182	292.77830924046896	0.040571494776245935	2.2285331025226706e-07
162.8738100000001	263.3317047920089	292.77600578749286	0.04057193894785627	2.2131088497988238e-07
164.87381000000013	263.3694588125498	292.7737164007915	0.040572380046782694	2.1978129223705443e-07
