#time[s]	radius[m]	rdot[m/s]
0.005461	0.0405005037386825	5.276326368189002e-06
0.0154609999999999	0.0405008082095107	1.0618324176090254e-05
0.0254609999999999	0.0405009985679291	1.3330221350955764e-05
0.035461	0.0405011474927547	1.282080291975906e-05
0.045461	0.0405012760746246	1.1841039203605793e-05
0.055461	0.0405013899926799	1.0658614789092692e-05
0.065461	0.0405014960754437	1.0216511809969152e-05
0.075461	0.0405015921223656	9.102900099462057e-06
0.085461	0.0405016803505562	8.431882498311364e-06
0.0954609999999999	0.0405017622364747	7.871478244030759e-06
0.1054609999999999	0.0405018386594139	7.369144943903315e-06
0.1154609999999999	0.0405019105849922	6.967689788046138e-06
0.125461	0.0405019786488469	6.613299303568584e-06
0.135461	0.0405020433171864	6.29705817881132e-06
0.145461	0.0405021049646985	6.013709843107648e-06
0.155461	0.040502161730667	5.4325196668239336e-06
0.165461	0.0405022155123783	5.228958270985068e-06
0.175461	0.0405022670527917	5.04197644146853e-06
0.185461	0.0405023167009045	4.870196254141861e-06
0.195461	0.0405023647013362	4.717659112316909e-06
0.205461	0.0405024111929966	4.573727472702935e-06
0.215461	0.040502456275708	4.43782370412447e-06
0.225461	0.0405025000039224	4.305096583371966e-06
0.2354610000000001	0.0405025424573335	4.181600942765273e-06
0.2454610000000001	0.040502583742751	4.070142067327123e-06
0.2554610000000001	0.040502623908642	3.960612773377352e-06
0.2654610000000001	0.0405026630367753	3.860925452138473e-06
0.2754610000000001	0.0405027011653592	3.762880921479789e-06
0.2854610000000001	0.0405027400762835	3.930209447331055e-06
0.2954610000000001	0.0405027785340722	3.823122081882871e-06
0.3054610000000001	0.0405028161786743	3.7238008811846303e-06
0.3154610000000001	0.0405028529329613	3.6309129532251216e-06
0.3254610000000001	0.0405028888067818	3.543358716220495e-06
0.3354610000000002	0.0405029238342675	3.460431838692875e-06
0.3454610000000002	0.0405029580668906	3.383519175654349e-06
0.3554610000000002	0.0405029915307645	3.3079499217476496e-06
0.3654610000000002	0.0405030242688311	3.237516301426972e-06
0.3754610000000002	0.0405030563140275	3.1698761369082736e-06
0.3854610000000002	0.0405030876845305	3.103315619947498e-06
0.3954610000000002	0.0405031184061461	3.0397171958656466e-06
0.4054610000000002	0.0405031485060519	2.9789050915741404e-06
0.4154610000000002	0.0405031780098835	2.9205794498050827e-06
0.4254610000000002	0.0405032069412808	2.864518004174932e-06
0.4354610000000002	0.040503235329481	2.8116601776142886e-06
0.4454610000000003	0.0405032631878921	2.759351646385642e-06
0.4554610000000003	0.0405032905333669	2.70890067614075e-06
0.4654610000000003	0.0405033173837186	2.660279005990483e-06
0.4754610000000003	0.0405033437560726	2.613335522792057e-06
0.4854610000000003	0.0405033696722715	2.5688121259484547e-06
0.4954610000000003	0.0405033951420929	2.524663271048854e-06
0.5054610000000003	0.04050342017813	2.481914497278969e-06
0.5154610000000003	0.0405034447938468	2.4405556586035845e-06
0.5254610000000003	0.0405034690022817	2.4004793976973286e-06
0.5354610000000003	0.0405034928157609	2.3616001288056427e-06
0.5454610000000003	0.0405035162459199	2.323849904780146e-06
0.5554610000000003	0.0405035393037755	2.2871703795594345e-06
0.5654610000000003	0.0405035620038059	2.2521117736083245e-06
0.5754610000000003	0.0405035843558298	2.21780208095305e-06
0.5854610000000003	0.0405036063643486	2.1836766167079127e-06
0.5954610000000004	0.0405036280409608	2.151065890612782e-06
0.6054610000000004	0.0405036493915495	2.118757690777486e-06
0.6154610000000004	0.0405036704239826	2.087335536683204e-06
0.6254610000000004	0.0405036900274028	1.888891374265775e-06
0.6354610000000004	0.040503708999105	1.865584312016732e-06
0.6454610000000004	0.0405037276034454	1.842065960165712e-06
0.6554610000000004	0.0405037459290498	1.818623628014161e-06
0.6654610000000004	0.0405037640070754	1.7954236259710454e-06
0.6754610000000004	0.0405037818500533	1.7725454107895331e-06
0.6854610000000004	0.0405037994645408	1.7500242248126338e-06
0.6954610000000004	0.0405038168551992	1.727874392613787e-06
0.7054610000000004	0.0405038340260865	1.7061001628895085e-06
0.7154610000000005	0.0405038509810529	1.6847006009571608e-06
0.7254610000000005	0.0405038677238543	1.6636718840316171e-06
0.7354610000000005	0.0405038842581779	1.643008477516051e-06
0.7454610000000005	0.0405039005876445	1.6227038030720235e-06
0.7554610000000005	0.0405039167158043	1.6027506491847209e-06
0.7654610000000005	0.0405039326461338	1.5831414370453565e-06
0.7754610000000005	0.040503948382033	1.5638683970529014e-06
0.7854610000000005	0.040503963926824	1.544923689048208e-06
0.7954610000000005	0.0405039792851926	1.5265157410254209e-06
0.8054610000000005	0.0405039944591396	1.5081736289577332e-06
0.8154610000000005	0.0405040094512442	1.490118337149413e-06
0.8254610000000006	0.0405040242644562	1.4723765735492491e-06
0.8354610000000006	0.0405040389017768	1.4549374844863145e-06
0.8454610000000006	0.0405040533661401	1.4377884668170926e-06
0.8554610000000006	0.0405040676603903	1.420919363965707e-06
0.8654610000000006	0.040504081788455	1.4044971985411283e-06
0.8754610000000006	0.0405040957520707	1.3881391129910649e-06
0.8854610000000006	0.0405041095534309	1.3720232443694133e-06
0.8954610000000006	0.0405041231950229	1.3561708011064724e-06
0.9054610000000006	0.0405041366793716	1.3405726993920766e-06
0.9154610000000006	0.0405041500089447	1.3252185280746074e-06
0.9254610000000006	0.0405041631861352	1.3100999120181924e-06
0.9354610000000008	0.0405041762132648	1.2952099225603238e-06
0.9454610000000008	0.040504189092591	1.2805424455825772e-06
0.9554610000000008	0.0405042018263121	1.266091856245105e-06
0.9654610000000008	0.0405042144165716	1.251852869379614e-06
