#time[s]	radius[m]	rdot[m/s]
0.005461	0.0404927506019676	-0.000176432606338
0.0154609999999999	0.040487883280514	-0.000203719076862
0.0254609999999999	0.0404846046068097	-0.0002484349829602
0.035461	0.0404818842951088	-0.000244113069919
0.045461	0.0404794781581255	-0.0002249049624439
0.055461	0.040477302081449	-0.0002061046523191
0.065461	0.0404753065894386	-0.0001905199677346
0.075461	0.0404734560485149	-0.0001778065380289
0.085461	0.0404717240330482	-0.0001672752738276
0.0954609999999999	0.0404700907818228	-0.0001583869104686
0.1054609999999999	0.0404685404439724	-0.0001508881162856
0.1154609999999999	0.0404670620826001	-0.0001442373133259
0.125461	0.0404656467091733	-0.0001383879454163
0.135461	0.0404642869676242	-0.0001331925610224
0.145461	0.0404629781622915	-0.0001283337224418
0.155461	0.0404617118312383	-0.0001245093913495
0.165461	0.0404604859799993	-0.0001205611331919
0.175461	0.0404592964856245	-0.0001171315942661
0.185461	0.0404581410329671	-0.000113843179875
0.195461	0.0404570169500769	-0.0001108398006517
0.205461	0.0404559217271432	-0.0001080792955474
0.215461	0.0404548531511178	-0.0001055252571296
0.225461	0.0404538092922794	-0.0001031500244751
0.2354610000000001	0.0404527879587012	-0.0001010070948146
0.2454610000000001	0.0404517881632457	-9.89026394227572e-05
0.2554610000000001	0.0404508086724584	-9.693384530807532e-05
0.2654610000000001	0.0404498482759064	-9.508494344325998e-05
0.2754610000000001	0.0404489058633385	-9.334205758029568e-05
0.2854610000000001	0.0404479804318676	-9.169409224668958e-05
0.2954610000000001	0.0404470710738832	-9.013212411325816e-05
0.3054610000000001	0.0404461766596255	-8.869423943337708e-05
0.3154610000000001	0.0404452967475839	-8.726609335436387e-05
0.3254610000000001	0.0404444304298902	-8.595205197164909e-05
0.3354610000000002	0.0404435773401574	-8.464757524337694e-05
0.3454610000000002	0.0404427369195752	-8.340860068109327e-05
0.3554610000000002	0.0404419083720803	-8.226109513779665e-05
0.3654610000000002	0.0404410914057021	-8.111758197651693e-05
0.3754610000000002	0.0404402855701852	-8.002700862396661e-05
0.3854610000000002	0.0404394904075571	-7.898261837540101e-05
0.3954610000000002	0.0404387054862785	-7.79800603847804e-05
0.4054610000000002	0.0404379304063006	-7.701593274971517e-05
0.4154610000000002	0.0404371647960922	-7.608753236188726e-05
0.4254610000000002	0.040436408308997	-7.519255386303053e-05
0.4354610000000002	0.0404356606202711	-7.432895412766396e-05
0.4454610000000003	0.0404349214247658	-7.349488949883297e-05
0.4554610000000003	0.0404341904350633	-7.2688680114736e-05
0.4654610000000003	0.0404334673799224	-7.190878600670527e-05
0.4754610000000003	0.0404327520029459	-7.115378942922768e-05
0.4854610000000003	0.0404320440614141	-7.042238094597607e-05
0.4954610000000003	0.0404313433252501	-6.971334800119188e-05
0.5054610000000003	0.0404306495760937	-6.902556526352109e-05
0.5154610000000003	0.0404299626064662	-6.835798631427823e-05
0.5254610000000003	0.0404292821071968	-6.772640902232851e-05
0.5354610000000003	0.0404286080102697	-6.7089575595613e-05
0.5454610000000003	0.0404279401507589	-6.647408026664419e-05
0.5554610000000003	0.040427278354083	-6.587652584928641e-05
0.5654610000000003	0.0404266224514348	-6.529556343354365e-05
0.5754610000000003	0.0404259721877015	-6.474442758818978e-05
0.5854610000000003	0.0404253275140109	-6.418786691405029e-05
0.5954610000000004	0.0404246882969814	-6.364886990135334e-05
0.6054610000000004	0.0404240532831663	-6.329122079653927e-05
0.6154610000000004	0.0404234231383132	-6.277103720582392e-05
0.6254610000000004	0.0404227979839318	-6.226591455183213e-05
0.6354610000000004	0.0404221777742509	-6.17737330735096e-05
0.6454610000000004	0.0404215624120719	-6.129384280442843e-05
0.6554610000000004	0.0404209517879492	-6.082550944251208e-05
0.6654610000000004	0.0404203457923918	-6.03681274813396e-05
0.6754610000000004	0.040419744319237	-5.99211953531604e-05
0.6854610000000004	0.0404191472043995	-5.9493567880018144e-05
0.6954610000000004	0.0404185544134419	-5.906290176343206e-05
0.7054610000000004	0.0404179658014089	-5.865225707663e-05
0.7154610000000005	0.0404173813384629	-5.8238840241383605e-05
0.7254610000000005	0.0404168009422809	-5.783628000455367e-05
0.7354610000000005	0.0404162245260662	-5.744262310669796e-05
0.7454610000000005	0.0404156520043399	-5.705744821626815e-05
0.7554610000000005	0.0404150832951732	-5.668028868378702e-05
0.7654610000000005	0.0404145183203355	-5.631076732667957e-05
0.7754610000000005	0.0404139570048888	-5.594857511000267e-05
0.7854610000000005	0.040413399276781	-5.559344383370597e-05
0.7954610000000005	0.0404128450665427	-5.5245130356823416e-05
0.8054610000000005	0.0404122943070715	-5.490340876970823e-05
0.8154610000000005	0.0404117469334709	-5.456806653068645e-05
0.8254610000000006	0.0404112028829215	-5.423890237352645e-05
0.8354610000000006	0.0404106620945718	-5.391572499262296e-05
0.8454610000000006	0.0404101245094412	-5.359835209673464e-05
0.8554610000000006	0.0404095900703333	-5.328660966446794e-05
0.8654610000000006	0.0404090587217551	-5.298033132762504e-05
0.8754610000000006	0.0404085304098435	-5.2679357844593294e-05
0.8854610000000006	0.0404080050822953	-5.238353664101415e-05
0.8954610000000006	0.0404074826883032	-5.209272140273279e-05
0.9054610000000006	0.0404069631784944	-5.180677171119358e-05
0.9154610000000006	0.0404064465048734	-5.152555271277416e-05
0.9254610000000006	0.0404059326207677	-5.124893481727727e-05
0.9354610000000008	0.0404054214807763	-5.097679342069234e-05
0.9454610000000008	0.0404049130047152	-5.071440958360038e-05
0.9554610000000008	0.0404044071887938	-5.0448585162652094e-05
