#time[s]	radius[m]	rdot[m/s]
0.005461	0.0405004950523154	3.707789266229074e-06
0.0154609999999999	0.0405007821887502	8.780241217165991e-06
0.0254609999999999	0.0405009562913457	1.1758567591483872e-05
0.035461	0.040501088876856	1.118269675708441e-05
0.045461	0.040501198503166	9.814670987715356e-06
0.055461	0.040501293381686	8.75046250447153e-06
0.065461	0.0405013809318747	8.388602304054598e-06
0.075461	0.0405014604348418	7.547935631675517e-06
0.085461	0.040501532509249	6.836012720658891e-06
0.0954609999999999	0.0405015984332809	6.284884435243279e-06
0.1054609999999999	0.0405016590292674	5.793196369443232e-06
0.1154609999999999	0.0405017151726397	5.391706518153494e-06
0.125461	0.0405017674653616	5.036739671000326e-06
0.135461	0.0405018162887537	4.708872725406319e-06
0.145461	0.0405018620934729	4.429538276598983e-06
0.155461	0.0405019030327955	3.850662426665542e-06
0.165461	0.0405019410188245	3.650938219339619e-06
0.175461	0.0405019767880818	3.46608714417338e-06
0.185461	0.0405020106800829	3.295337304832612e-06
0.195461	0.0405020429187952	3.141206786319651e-06
0.205461	0.0405020736397435	2.996206633873732e-06
0.215461	0.0405021029445012	2.8596662374581908e-06
0.225461	0.0405021309007113	2.7281936317401152e-06
0.2354610000000001	0.040502157588985	2.605430557065172e-06
0.2454610000000001	0.0405021831039369	2.492829095944677e-06
0.2554610000000001	0.0405022075015397	2.3838928260964844e-06
0.2654610000000001	0.0405022308559604	2.283282957302165e-06
0.2754610000000001	0.0405022532128667	2.1858149095866805e-06
0.2854610000000001	0.040502274632277	2.0950662417530427e-06
0.2954610000000001	0.040502296794504	2.253363522391489e-06
0.3054610000000001	0.040502318528983	2.1520605032693007e-06
0.3154610000000001	0.0405023394933117	2.057925363211269e-06
0.3254610000000001	0.0405023596122549	1.969625035257973e-06
0.3354610000000002	0.0405023788931908	1.8861932307936568e-06
0.3454610000000002	0.0405023973737141	1.8080317050219536e-06
0.3554610000000002	0.0405024150831548	1.7323899340950158e-06
0.3654610000000002	0.0405024320603465	1.6611067143042638e-06
0.3754610000000002	0.0405024483381322	1.592808276970022e-06
0.3854610000000002	0.0405024639408449	1.526517623997082e-06
0.3954610000000002	0.0405024788956248	1.4630813401894555e-06
0.4054610000000002	0.0405024932293009	1.4023124178668122e-06
0.4154610000000002	0.0405025069670061	1.343971988237781e-06
0.4254610000000002	0.0405025201320396	1.2878697608849525e-06
0.4354610000000002	0.0405025327493369	1.2343429139372844e-06
0.4454610000000003	0.0405025448360287	1.182138905914861e-06
0.4554610000000003	0.0405025564100886	1.1317743990279158e-06
0.4654610000000003	0.0405025674892916	1.0831774601146718e-06
0.4754610000000003	0.040502578092967	1.03659115712519e-06
0.4854610000000003	0.0405025882347832	9.91088661935529e-07
0.4954610000000003	0.0405025979290552	9.470499838944874e-07
0.5054610000000003	0.0405026071899645	9.044227882425516e-07
0.5154610000000003	0.0405026160310547	8.631180724129556e-07
0.5254610000000003	0.0405026244651478	8.230594483910065e-07
0.5354610000000003	0.0405026325043851	7.841809489632288e-07
0.5454610000000003	0.0405026401602863	7.464233160373507e-07
0.5554610000000003	0.0405026474438015	7.09732213947153e-07
0.5654610000000003	0.0405026543653556	6.740573629825558e-07
0.5754610000000003	0.0405026609357458	6.394808224397174e-07
0.5854610000000003	0.0405026671641719	6.057444039556433e-07
0.5954610000000004	0.0405026730584699	5.727233897988264e-07
0.6054610000000004	0.0405026786272604	5.406036821231646e-07
0.6154610000000004	0.0405026827318612	3.3725058569926057e-07
0.6254610000000004	0.0405026861900894	3.135042034425604e-07
0.6354610000000004	0.0405026892732941	2.895692840874256e-07
0.6454610000000004	0.0405026920722571	2.6568421239217976e-07
0.6554610000000004	0.040502694618754	2.420263895321515e-07
0.6654610000000004	0.0405026969255095	2.186884850095609e-07
0.6754610000000004	0.0405026989991858	1.957136633687485e-07
0.6854610000000004	0.040502700844546	1.7312021662789498e-07
0.6954610000000004	0.0405027024657603	1.5091413655320268e-07
0.7054610000000004	0.0405027038667991	1.290950972035909e-07
0.7154610000000005	0.0405027050515409	1.0765933929563161e-07
0.7254610000000005	0.0405027060237958	8.660114143277227e-08
0.7354610000000005	0.040502706787305	6.59136278320525e-08
0.7454610000000005	0.0405027073457363	4.5589242915362185e-08
0.7554610000000005	0.0405027077026804	2.562004653586612e-08
0.7654610000000005	0.0405027078616478	5.9979045843061185e-09
0.7754610000000005	0.0405027078260677	-1.3285384011885513e-08
0.7854610000000005	0.0405027075992876	-3.2238001106398427e-08
0.7954610000000005	0.0405027071845348	-5.087391582894061e-08
0.8054610000000005	0.0405027065850271	-6.91885285471916e-08
0.8154610000000005	0.040502705803885	-8.719592323688619e-08
0.8254610000000006	0.0405027048441398	-1.049046677342028e-07
0.8354610000000006	0.0405027037087438	-1.223221555487502e-07
0.8454610000000006	0.0405027024005748	-1.3945553994857017e-07
0.8554610000000006	0.0405027009224395	-1.5631184251684276e-07
0.8654610000000006	0.0405026992770749	-1.7289793204575376e-07
0.8754610000000006	0.0405026974670019	-1.8924271963981402e-07
0.8854610000000006	0.0405026954949436	-2.053050899807947e-07
0.8954610000000006	0.0405026933634907	-2.211150257917945e-07
0.9054610000000006	0.040502691075126	-2.366820567421443e-07
0.9154610000000006	0.0405026886322591	-2.5201179255281937e-07
0.9254610000000006	0.0405026860372404	-2.6710946729261906e-07
0.9354610000000008	0.040502683292365	-2.8198037567103906e-07
0.9454610000000008	0.0405026803998745	-2.966298077727719e-07
0.9554610000000008	0.0405026773619579	-3.110629633730013e-07
0.9654610000000008	0.040502674180753	-3.252848974682414e-07
