#time[s]	radius[m]	rdot[m/s]
0.005461	0.0404927527391284	-0.0001760414420359
0.0154609999999999	0.0404878892695562	-0.0002033382630378
0.0254609999999999	0.0404846143922879	-0.0002480581116409
0.035461	0.0404818978373346	-0.0002437393795748
0.045461	0.0404794954315986	-0.000224533112734
0.055461	0.0404773208549666	-0.0002060662080017
0.065461	0.0404753266890595	-0.0001903960544727
0.075461	0.040473477753515	-0.0001776320363077
0.085461	0.0404717476630142	-0.0001670667979044
0.0954609999999999	0.0404701166101606	-0.0001581534029985
0.1054609999999999	0.0404685695367295	-0.0001505083719871
0.1154609999999999	0.0404670947751585	-0.0001438605640918
0.125461	0.0404656830997526	-0.0001380132323397
0.135461	0.0404643270796988	-0.0001328192377643
0.145461	0.0404630206302739	-0.0001281664110533
0.155461	0.0404617567397109	-0.0001242611131996
0.165461	0.040460532665261	-0.0001204166393377
0.175461	0.040459345253909	-0.0001169079803111
0.185461	0.0404581915236064	-0.0001136889777903
0.195461	0.0404570688013425	-0.0001107218244517
0.205461	0.0404559747249873	-0.0001079753400869
0.215461	0.0404549072094055	-0.0001054235195077
0.225461	0.0404538644078084	-0.0001030444604668
0.2354610000000001	0.0404528446768651	-0.0001008195616427
0.2454610000000001	0.0404518469890203	-9.866662956761918e-05
0.2554610000000001	0.0404508699959371	-9.666457023549686e-05
0.2654610000000001	0.0404499123777427	-9.479307499654544e-05
0.2754610000000001	0.0404489729466342	-9.30337565553866e-05
0.2854610000000001	0.0404480506476738	-9.137328863739616e-05
0.2954610000000001	0.0404471445378617	-8.9801523792058e-05
0.3054610000000001	0.0404462534821339	-8.835286856297688e-05
0.3154610000000001	0.0404453769878298	-8.692135922405177e-05
0.3254610000000001	0.0404445141613655	-8.559925444133292e-05
0.3354610000000002	0.0404436645974727	-8.429326070389788e-05
0.3454610000000002	0.0404428277385351	-8.305064599511149e-05
0.3554610000000002	0.0404420028024581	-8.189746468127915e-05
0.3654610000000002	0.0404411894639252	-8.075397607668319e-05
0.3754610000000002	0.0404403872762886	-7.966121884843857e-05
0.3854610000000002	0.0404395957806475	-7.861496434260425e-05
0.3954610000000002	0.040438814543351	-7.761081241251767e-05
0.4054610000000002	0.04043804316212	-7.664531982608704e-05
0.4154610000000002	0.0404372812633834	-7.571574893251646e-05
0.4254610000000002	0.0404365284987003	-7.481976563725657e-05
0.4354610000000002	0.0404357845417868	-7.395530287811901e-05
0.4454610000000003	0.0404350490861691	-7.312049697614605e-05
0.4554610000000003	0.0404343218432883	-7.231365123886996e-05
0.4654610000000003	0.0404336025409181	-7.153321148030422e-05
0.4754610000000003	0.0404328909218088	-7.077774788925272e-05
0.4854610000000003	0.0404321867425007	-7.004594074618258e-05
0.4954610000000003	0.0404314897722734	-6.933656869564269e-05
0.5054610000000003	0.0404307997922053	-6.864849884884335e-05
0.5154610000000003	0.0404301164908121	-6.7996205568911e-05
0.5254610000000003	0.0404294397740123	-6.7342450313197e-05
0.5354610000000003	0.0404287694736434	-6.670921535802856e-05
0.5454610000000003	0.0404281054082485	-6.609479077960694e-05
0.5554610000000003	0.0404274474014278	-6.549775336258668e-05
0.5654610000000003	0.0404267952857807	-6.491700602463134e-05
0.5754610000000003	0.0404261489025926	-6.43516958682386e-05
0.5854610000000003	0.0404255080194541	-6.381331136932925e-05
0.5954610000000004	0.0404248725744405	-6.327259510524015e-05
