2066.6,474.32
2065.6,472.65
2064.9,471.95
2064,471.11
2063,470.6
2062,470.51
2061,470.49
2060,470.46
2059,470.3
2058,470.3
2057,470.46
2056,470.54
2055,470.7
2054,470.65
2053,470.3
2052,470.05
2051,470.05
2050,470.3
2049,470.65
2048,470.7
2047,470.6
2046,470.7
2045,470.65
2044,470.3
2043,470.05
2042,469.95
2041,469.76
2040,469.6
2039,469.7
2038,469.7
2037,469.54
2036,469.51
2035,469.54
2034,469.76
2033,469.89
2032,469.76
2031,469.6
2030,469.7
2029,469.7
2028,469.54
2027,469.51
2026,469.54
2025,469.76
2024,469.89
2023,469.76
2022,469.54
2021,469.51
2020,469.54
2019,469.7
2018,469.7
2017,469.54
2016,469.46
2015,469.24
2014,469.11
2013,469.24
2012,469.46
2011,469.49
2010,469.46
2009,469.24
2008,469
2007,468.76
2006,468.6
2005,468.81
2004,469.3
2003,470
2002,470.59
2001,470.65
2000,470.3
1999,470
1998,469.65
1997,469.05
1996,468.6
1995,468.46
1994,468.19
1993,467.81
1992,467.65
1991,468
1990,468.35
1989,468.24
1988,468.11
1987,468.24
1986,468.4
1985,468.19
1984,467.81
1983,467.6
1982,467.7
1981,467.65
1980,467.35
1979,467.35
1978,467.65
1977,467.65
1976,467.35
1975,467.3
1974,467.4
1973,467.24
1972,467.05
1971,467
1970,467
1969,467
1968,467
1967,467
1966,466.95
1965,466.7
1964,466.24
1963,465.7
1962,464.95
1961,464
1960,463
1959,462
1958,461.05
1957,460.41
1956,460.41
1955,461.05
1954,461.89
1953,462.4
1952,462.6
1951,463.11
1950,463.89
1949,464.4
1948,464.54
1947,464.76
1946,465
1945,465.24
1944,465.35
1943,465
1942,464.6
1941,464.51
1940,464.49
1939,464.46
1938,464.24
1937,464.05
1936,464
1935,464
1934,464
1933,464
1932,463.95
1931,463.76
1930,463.6
1929,463.7
1928,463.7
1927,463.54
1926,463.51
1925,463.49
1924,463.51
1923,463.49
1922,463.51
1921,463.49
1920,463.4
1919,463
1918,462.6
1917,462.46
1916,462.3
1915,462.35
1914,462.7
1913,462.89
1912,462.7
1911,462.3
1910,462.05
1909,461.95
1908,461.76
1907,461.54
1906,461.46
1905,461.19
1904,460.81
1903,460.54
1902,460.46
1901,460.19
1900,459.81
1899,459.54
1898,459.46
1897,459.24
1896,459.05
1895,459
1894,459
1893,459
1892,458.95
1891,458.65
1890,458
1889,457.3
1888,456.76
1887,456.35
1886,456.3
1885,456.46
1884,456.49
1883,456.4
1882,455.95
1881,455.35
1880,455.05
1879,454.95
1878,454.76
1877,454.54
1876,454.46
1875,454.19
1874,453.76
1873,453.24
1872,452.76
1871,452.24
1870,451.7
1869,451.05
1868,450.6
1867,450.46
1866,450.24
1865,450
1864,449.76
1863,449.54
1862,449.46
1861,449.19
1860,448.76
1859,448.24
1858,447.81
1857,447.54
1856,447.46
1855,447.19
1854,446.76
1853,446.3
1852,446.05
1851,446
1850,446
1849,445.95
1848,445.7
1847,445.24
1846,444.76
1845,444.3
1844,444.05
1843,444
1842,443.95
1841,443.7
1840,443.24
1839,442.81
1838,442.54
1837,442.51
1836,442.6
1835,443
1834,443.29
1833,442.89
1832,442
1831,441.05
1830,440.41
1829,440.3
1828,440.4
1827,440.24
1826,440
1825,439.76
1824,439.54
1823,439.4
1822,438.95
1821,438.3
1820,437.81
1819,437.54
1818,437.51
1817,437.49
1816,437.46
1815,437.19
1814,436.76
1813,436.24
1812,435.81
1811,435.54
1810,435.4
1809,434.95
1808,434.35
1807,434.05
1806,434
1805,434
1804,433.95
1803,433.76
1802,433.54
1801,433.46
1800,433.19
1799,432.7
1798,431.95
1797,431.11
